Product Name,Sale Price (₹),Original Price (₹),Discount,Product URL
Bevzilla instant iced tea lemon 30gm x5,141.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-iced-tea-lemon-30gm-x5
Bevzilla Instant 24 coffee sachets  orange flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-orange-flavour
Bevzilla Instant 24 coffee sachets  coconut flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-coconut-flavour
Bevzilla Instant 24 coffee sachets  Vanilla flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-vanilla-flavour
Bevzilla Instant 24 Coffee Sachets  Hazelnut Flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-hazelnut-flavour
Bevzilla Instant 24 coffee sachets  butterscotch flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-butterscotch-flavour
Bevzilla Instant 24 coffee sachets  Classic flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-classic-flavour
Bevzilla coffee cubes pack of 5 vanilla,199.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-cubes-pack-of-5-vanilla
Bevzilla Instant 24 coffee sachets  caramel flavour,159.00,,No Discount,https://www.bevzilla.co/products/bevzilla-instant-24-coffee-sachets-caramel-flavour
Bevzilla coffee cubes pack of 5 hazelnut,199.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-cubes-pack-of-5-hazelnut
Bevzilla coffee cubes pack of 5 classic,199.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-cubes-pack-of-5-classic
Bevzilla coffee cubes pack of 5 irish,199.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-cubes-pack-of-5-irish
Bevzilla coffee cubes pack of 5 belgian chocolate,199.00,,No Discount,https://www.bevzilla.co/products/bevzilla-coffee-cubes-pack-of-5-belgian-chocolate
Build Your Own Box,599.00,,No Discount,https://www.bevzilla.co/products/build-your-own-box
Iced Coffee,399.00,899.00,Yes,https://www.bevzilla.co/products/iced-coffee
Masala Lemonade,158.00,599.00,Yes,https://www.bevzilla.co/products/masala-lemonade
BeFit Coffee,450.00,599.00,Yes,https://www.bevzilla.co/products/bevzilla-instant-befit-coffee-powder-150-gms
75GM x 4 Flavoured Coffee Jars with Free Electric Frother.,1949.00,,No Discount,https://www.bevzilla.co/products/75gm-x-4-flavoured-coffee-jars-with-free-electric-frother-1
75 grams x 3 Coffee Jars + Electric frother,1949.00,1949.00,No Discount,https://www.bevzilla.co/products/75-grams-x-3-coffee-jars-combo-with-electric-frother
84 Sachets Assorted Coffee Powder Box,386.00,518.00,Yes,https://www.bevzilla.co/products/84-sachets-assorted-coffee-powder-box
Beauty Coffee,547.00,1797.00,Yes,https://www.bevzilla.co/products/beauty-coffee-3
Beauty Coffee,547.00,599.00,Yes,https://www.bevzilla.co/products/beauty-coffee-2
Beauty Coffee,547.00,599.00,Yes,https://www.bevzilla.co/products/beauty-coffee
